offense_completion_percentage,offense_total_yards_gained_pass,offense_total_yards_gained_run,offense_ave_yards_gained_pass,offense_ave_yards_gained_run,offense_total_air_yards,offense_ave_air_yards,offense_total_yac,offense_ave_yac,offense_n_plays_pass,offense_n_plays_run,offense_n_interceptions,offense_n_fumbles_lost_pass,offense_n_fumbles_lost_run,offense_total_epa_pass,offense_total_epa_run,offense_ave_epa_pass,offense_ave_epa_run,offense_total_wpa_pass,offense_total_wpa_run,offense_ave_wpa_pass,offense_ave_wpa_run,offense_success_rate_pass,offense_success_rate_run,defense_completion_percentage,defense_total_yards_gained_pass,defense_total_yards_gained_run,defense_ave_yards_gained_pass,defense_ave_yards_gained_run,defense_total_air_yards,defense_ave_air_yards,defense_total_yac,defense_ave_yac,defense_n_plays_pass,defense_n_plays_run,defense_n_interceptions,defense_n_fumbles_lost_pass,defense_n_fumbles_lost_run,defense_total_epa_pass,defense_total_epa_run,defense_ave_epa_pass,defense_ave_epa_run,defense_total_wpa_pass,defense_total_wpa_run,defense_ave_wpa_pass,defense_ave_wpa_run,defense_success_rate_pass,defense_success_rate_run,score_diff
0.5611888111888111,3662,1350,6.4020979020979025,3.2766990291262137,4284,8.007476635514019,1582,4.94375,572,412,17,5,5,4.796972102770326,-59.00025398796935,0.008386314864983088,-0.1432044999707994,0.05143712971539216,-1.5498638065803547,8.99250519499863e-5,-0.0037618053557775598,0.43356643356643354,0.38349514563106796,0.5763016157989228,3698,1910,6.639138240574506,4.272930648769575,4577,8.852998065764023,1642,5.13125,557,447,16,9,8,13.368517456236702,-62.48622799582738,0.024000929005810957,-0.13979021923003887,0.8331617277600679,-1.3667280849417647,0.0014958020247038922,-0.003057557237006185,0.4524236983842011,0.40268456375838924,-75
0.47956989247311826,2371,2946,5.098924731182795,5.558490566037736,4698,11.266187050359711,942,4.2242152466367715,465,530,15,2,3,-77.98854221615204,27.468924290569333,-0.167717295088499,0.051828159038810065,-1.0114194601322097,0.6499608132130703,-0.0021750956131875478,0.001226341157005793,0.36989247311827955,0.4226415094339623,0.5828779599271403,3663,1668,6.672131147540983,3.816933638443936,4245,8.291015625,1437,4.504702194357367,549,437,12,6,6,30.75927568218372,-53.569377903730775,0.05602782455771169,-0.12258438879572259,1.3976262032785391,-0.7213015235631914,0.0025457672190865926,-0.0016505755687944883,0.4644808743169399,0.35926773455377575,-36
0.6119402985074627,3435,1667,6.4085820895522385,3.7376681614349776,4082,7.88030888030888,1391,4.240853658536586,536,446,14,3,5,40.79437373413429,-58.94686233857921,0.0761089062203998,-0.13216785277708343,1.3089347790491526,-1.0886901313630992,0.002442042498226031,-0.0024410092631459625,0.44216417910447764,0.3452914798206278,0.48947368421052634,3014,1222,5.287719298245614,3.403899721448468,4653,9.141453831041257,1207,4.326164874551972,570,359,28,5,6,-136.1457087786564,-88.8384944867043,-0.23885212066430944,-0.2474609874281457,-2.6538975615724025,-2.378662248238162,-0.0046559606343375476,-0.006625800134368138,0.4,0.30362116991643456,152
0.5639412997903563,2718,1555,5.69811320754717,3.7290167865707433,3833,8.913953488372092,1243,4.620817843866171,477,417,14,10,5,-28.907925353051255,-56.19032465537546,-0.06060361709235064,-0.13474897998890997,-0.5659780140047174,-1.66668113808865,-0.0011865367169910216,-0.003996837261603477,0.4444444444444444,0.37410071942446044,0.5901639344262295,3023,2268,5.5063752276867035,4.877419354838709,3753,7.358823529411764,1499,4.6265432098765435,549,465,13,5,4,-50.90155403192863,13.782016583839091,-0.09271685616016144,0.029638745341589445,-1.2571877466500936,0.4874532098139398,-0.0022899594656650155,0.00104828647271815,0.4353369763205829,0.4344086021505376,-11
0.5691768826619965,3264,1674,5.716287215411558,4.102941176470588,4348,8.066790352504638,1553,4.79320987654321,571,408,17,5,3,-37.62897462532037,-42.79791083779387,-0.06590013069232989,-0.10489684028871048,-1.5302524223544829,-0.0856993577007199,-0.0026799517028975183,-2.1004744534490173e-4,0.4290718038528897,0.37254901960784315,0.5378927911275416,3004,1751,5.55268022181146,4.034562211981567,4144,8.32128514056225,1550,5.326460481099656,541,434,14,3,4,-20.45170018929606,-35.90365759857931,-0.03780351236468773,-0.0827273216557127,0.22189072104282248,-1.3052884375184404,4.101492071031839e-4,-0.003007577044973365,0.39371534195933455,0.3709677419354839,-35
0.5251396648044693,3286,1940,6.1191806331471135,4.01656314699793,4564,8.896686159844055,1374,4.889679715302491,537,483,22,6,4,-41.79657234224034,-19.36707899913955,-0.07783346804886468,-0.04009747204790797,-1.4212025578418135,-0.21165888864177418,-0.0026465596980294478,-4.3821716074901487e-4,0.40037243947858475,0.38923395445134573,0.5383360522022839,3129,1606,5.104404567699837,4.065822784810127,4542,7.912891986062718,1381,4.184848484848485,613,395,23,10,8,-113.19415366438612,-62.76977119582846,-0.18465604186686152,-0.1589108131539961,-2.772056776248631,-1.9693798498333543,-0.004522115458806902,-0.0049857717717300114,0.40456769983686786,0.3670886075949367,172
0.5881294964028777,3827,1648,6.883093525179856,3.9144893111638956,5064,9.757225433526012,1466,4.483180428134556,556,421,13,8,2,62.84620497630752,-30.915399999194705,0.11303274276314301,-0.07343325415485678,1.0854979489347976,0.06956960595883122,0.0019523344405302113,1.652484702110005e-4,0.48741007194244607,0.39429928741092635,0.5972696245733788,3817,1874,6.513651877133106,4.288329519450801,4587,8.34,1659,4.7535816618911175,586,437,19,3,5,49.327958033275614,-25.272084414429873,0.08417740278715975,-0.05783085678359239,2.1312556286132267,-0.4431833234777387,0.0036369549976334923,-0.0010141494816424226,0.48464163822525597,0.40503432494279173,42
0.5650623885918004,2893,1347,5.1568627450980395,3.6904109589041094,3766,7.428007889546351,1533,4.83596214511041,561,365,25,6,9,-114.10735482365786,-73.52716712870061,-0.20339991947176086,-0.20144429350328935,-4.193317251264033,-1.3120223088338197,-0.007474718807957278,-0.003594581668037862,0.40998217468805703,0.33424657534246577,0.5338345864661654,3239,2296,6.088345864661654,4.666666666666667,4555,9.11,1376,4.845070422535211,532,492,18,3,6,23.517762403182818,-27.380251928832138,0.04420632030673462,-0.05565091855453686,0.22448668433248398,-0.6005612016875375,4.2196745175278945e-4,-0.0012206528489584095,0.4492481203007519,0.37398373983739835,-118
0.5688073394495413,3838,1954,7.042201834862385,4.229437229437229,4681,9.380761523046091,1427,4.633116883116883,545,462,21,5,2,74.1422978316882,0.7426713349827536,0.13604091345263888,0.0016075137120838824,2.294690599383899,-0.31670652522472287,0.0042104414667594485,-6.85511959360872e-4,0.48990825688073397,0.4155844155844156,0.5543278084714549,3506,1672,6.456721915285451,3.980952380952381,3973,7.914342629482071,1563,5.2274247491638794,543,420,18,5,5,10.452404193841284,-27.31661995679325,0.01924936315624546,-0.06503957132569821,1.6930334179277953,-0.7928683122895217,0.0031179252632187755,-0.0018877816959274327,0.4438305709023941,0.40714285714285714,75
0.5289256198347108,2799,2167,5.783057851239669,4.5813953488372094,4330,9.55849889624724,1233,4.8352941176470585,484,473,18,6,4,-47.29811769215392,-5.899903613715296,-0.09772338366147504,-0.012473369162188786,-0.8386266734272033,-0.32395852562034255,-0.0017326997384859574,-6.849017454975529e-4,0.41115702479338845,0.386892177589852,0.5706806282722513,3405,1823,5.942408376963351,4.152619589977221,4604,8.605607476635514,1565,4.7859327217125385,573,439,17,6,4,-42.46343035090591,-21.256264571178477,-0.07410720829128431,-0.048419737064187875,-0.938168276930143,-0.6246057232558022,-0.0016372919318152583,-0.0014227920803093444,0.4328097731239092,0.4123006833712984,14
0.5653495440729484,3820,1136,5.805471124620061,3.8120805369127515,5040,8.513513513513514,1698,4.564516129032258,658,298,22,11,6,-52.098115019518566,-60.66248747316116,-0.07917646659501301,-0.20356539420523878,-2.3492841341756656,-1.2828641512882388,-0.0035703406294463,-0.004304913259356506,0.45440729483282677,0.3523489932885906,0.6277777777777778,3529,2029,6.535185185185185,4.280590717299578,4112,8.094488188976378,1508,4.474777448071217,540,474,12,9,7,46.549763332377154,-24.304456377100585,0.08620326543032807,-0.05127522442426284,1.834647641009536,0.21675647579742208,0.003397495631499141,4.5729214303253605e-4,0.48333333333333334,0.4029535864978903,-93
0.5368098159509203,3778,1677,5.794478527607362,4.002386634844869,5488,8.752791068580542,1936,5.54727793696275,652,419,18,7,7,-23.375181610477508,-58.69517489931488,-0.03585150553754219,-0.14008394964036963,0.022383288288977066,-1.7971332145462275,3.433019676223476e-5,-0.004289100750706988,0.41411042944785276,0.36515513126491644,0.5116279069767442,3311,1844,5.923076923076923,4.359338061465721,4395,8.668639053254438,1735,6.152482269503546,559,423,23,4,6,-52.832814931460554,-19.215781661125142,-0.09451308574500994,-0.04542737981353461,-2.336946306122272,-0.6392403359485956,-0.004180583731882419,-0.001511206467963583,0.4186046511627907,0.38534278959810875,-65
